IATA2
00
02
03
04
05
06
07
08
09
11
12
13
14
15
16
17
18
19
21
22
23
24
25
26
27
28
29
31
32
33
34
35
36
37
38
39
41
42
43
44
45
46
47
48
51
52
55
56
57
58
61
62
63
64
65
66
67
68
69
71
72
73
75
76
77
81
82
83
84
85
86
87
88
89
91
92
93
94
95
96
97
98
99
AD
AE
AF
AG
AM
AS
AT
AW
AX
CA
CC
CD
CE
CI
CL
CO
CP
CU
DF
DG
EC
ED
EF
EO
FA
FB
FC
FF
FL
FP
FR
FS
FT
GB
GC
GD
GE
GF
GL
GS
GT
GU
MI
MO
MX
OA
PB
PC
PD
PE
PH
PL
PO
PS
PW
RA
RC
RL
RO
RS
RT
SG
TA
TC
TD
TL
TM
TN
TS
TV
WG
WI
WO
WR
WS
WT
